Уровень образования;Кафедра;Название программы;Вид обучения;Форма обучения;Даты проведения;Количество часов;Кто может учиться;Подать заявку
Высшее медицинское;Кафедра акушерства и гинекологии;Акушерство и гинекология;повышение квалификации;Очная;18.01.2027-13.02.2027<br>12.04.2027-08.05.2027<br>06.09.2027-02.10.2027<br>04.10.2027-30.10.2027<br>15.03.2027-10.04.2027<br>15.11.2027-11.12.2027;144;Акушерство и гинекология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/2c5535dd-7939-77a0-8f3b-7059aca625cb
Высшее медицинское;Кафедра акушерства и гинекологии;Критические состояния в акушерстве. Акушерские кровотечения. Преэклампсия. Акушерский сепсис;повышение квалификации;Очная;11.01.2027-16.01.2027<br>13.12.2027-18.12.2027<br>01.03.2027-06.03.2027;36;Акушерство и гинекология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/d5cb1815-0011-4ad6-a6a2-15ccf103600e
Высшее медицинское;Кафедра акушерства и гинекологии;Нарушения полового развития и гинекологические заболевания детей и подростков;повышение квалификации;Очная;15.02.2027-20.02.2027<br>17.05.2027-22.05.2027<br>24.05.2027-29.05.2027;36;Акушерство и гинекология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/fc09bb6b-e075-4c47-874a-a20da46d473b
Высшее медицинское;Кафедра анестезиологии и реаниматологии;Анестезиология-реаниматология;профессиональная переподготовка;Очная;11.01.2027-25.12.2027;1296;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/cb59f221-0255-89c2-2e61-ec4e23ff7b3f
Высшее медицинское;Кафедра анестезиологии и реаниматологии;Скорая медицинская помощь;профессиональная переподготовка;Очная;06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/1cb0f7e2-1aa1-c900-af9f-c56f0b16c1c7
Высшее медицинское;Кафедра анестезиологии и реаниматологии;Анестезиология-реаниматология;повышение квалификации;Очная;11.01.2027-05.02.2027<br>04.10.2027-30.10.2027;144;Анестезиология-реаниматология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/37f607eb-a944-566d-d5f2-aa75deee3600
Высшее медицинское;Кафедра анестезиологии и реаниматологии;Диагностика, терапия и профилактика болевого синдрома;повышение квалификации;Очная;15.03.2027-20.03.2027<br>15.11.2027-20.11.2027;36;Анестезиология-реаниматология, Акушерство и гинекология, Гастроэнтерология, Гематология, Гериатрия, Детская кардиология, Детская онкология, Детская онкология-гематология, Детская урология-андрология, Детская хирургия, Колопроктология, Лечебное дело, Неврология, Нейрохирургия, Неонатология, Нефрология, Общая врачебная практика (семейная медицина), Онкология, Оториноларингология, Офтальмология, Педиатрия, Педиатрия (после специалитета), Пульмонология, Ревматология, Сердечно-сосудистая хирургия, Скорая медицинская помощь, Стоматология детская, Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология ортопедическая, Стоматология терапевтическая, Стоматология хирургическая, Терапия, Торакальная хирургия, Травматология и ортопедия, Урология, Фтизиатрия, Хирургия, Челюстно-лицевая хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/b7f9b1d7-89db-a306-eed2-03a01d9836ea
Высшее медицинское;Кафедра анестезиологии и реаниматологии;Основы респираторной поддержки в отделении интенсивной терапии;повышение квалификации;Очная;06.04.2027-09.04.2027;36;Анестезиология-реаниматология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/281174ab-a37f-0cfa-589e-ae9b43e3a5dd
Высшее медицинское;Кафедра анестезиологии и реаниматологии;Особенности сопровождения ангиорентген-процедур у пациентов с сердечно-сосудистой патологией;повышение квалификации;Очная;02.10.2027-05.10.2027;36;Анестезиология-реаниматология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/ea9a9e39-0cac-33d3-f0fa-e4e600d7bd3e
Высшее медицинское;Кафедра анестезиологии и реаниматологии;Скорая медицинская помощь;повышение квалификации;Очная;27.09.2027-23.10.2027;144;Скорая медицинская помощь;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/c227554f-a4e2-c9e2-74f2-a0068413aea7
